dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,table_schema,table_name,column_name
postgresql,postgres,public,profiles,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,profiles,user_id,2,uuid,,FOREIGN KEY,auth,users,id
postgresql,postgres,public,profiles,user_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,user_privacy_settings,user_id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,user_privacy_settings,user_id,1,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,user_consents,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,user_consents,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,data_export_requests,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,data_export_requests,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,account_deletion_requests,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,account_deletion_requests,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,onboarding_sessions,id,1,uuid,,UNIQUE,,,
postgresql,postgres,public,onboarding_sessions,user_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,onboarding_sessions,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,onboarding_sessions,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,onboarding_responses,onboarding_session_id,2,uuid,,FOREIGN KEY,public,onboarding_sessions,id
postgresql,postgres,public,onboarding_responses,onboarding_session_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,onboarding_responses,question_key,3,text,,UNIQUE,,,
postgresql,postgres,public,onboarding_responses,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,financial_profile_assessments,id,1,uuid,,UNIQUE,,,
postgresql,postgres,public,financial_profile_assessments,user_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,financial_profile_assessments,onboarding_session_id,3,uuid,,FOREIGN KEY,public,onboarding_sessions,id
postgresql,postgres,public,financial_profile_assessments,user_id,2,uuid,,FOREIGN KEY,public,onboarding_sessions,user_id
postgresql,postgres,public,financial_profile_assessments,onboarding_session_id,3,uuid,,FOREIGN KEY,public,onboarding_sessions,id
postgresql,postgres,public,financial_profile_assessments,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,financial_profile_assessments,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,financial_profile_explanation_drivers,assessment_id,2,uuid,,FOREIGN KEY,public,financial_profile_assessments,id
postgresql,postgres,public,financial_profile_explanation_drivers,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,financial_profile_assignments,assessment_id,3,uuid,,FOREIGN KEY,public,financial_profile_assessments,id
postgresql,postgres,public,financial_profile_assignments,assessment_id,3,uuid,,FOREIGN KEY,public,financial_profile_assessments,id
postgresql,postgres,public,financial_profile_assignments,user_id,2,uuid,,FOREIGN KEY,public,financial_profile_assessments,user_id
postgresql,postgres,public,financial_profile_assignments,id,1,uuid,,UNIQUE,,,
postgresql,postgres,public,financial_profile_assignments,user_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,financial_profile_assignments,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,financial_profile_assignments,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,financial_profile_events,assessment_id,3,uuid,,FOREIGN KEY,public,financial_profile_assessments,id
postgresql,postgres,public,financial_profile_events,assessment_id,3,uuid,,FOREIGN KEY,public,financial_profile_assessments,id
postgresql,postgres,public,financial_profile_events,user_id,2,uuid,,FOREIGN KEY,public,financial_profile_assessments,user_id
postgresql,postgres,public,financial_profile_events,assignment_id,4,uuid,,FOREIGN KEY,public,financial_profile_assignments,id
postgresql,postgres,public,financial_profile_events,assignment_id,4,uuid,,FOREIGN KEY,public,financial_profile_assignments,id
postgresql,postgres,public,financial_profile_events,user_id,2,uuid,,FOREIGN KEY,public,financial_profile_assignments,user_id
postgresql,postgres,public,financial_profile_events,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,financial_profile_events,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,financial_profile_reclassification_schedules,last_assessment_id,8,uuid,,FOREIGN KEY,public,financial_profile_assessments,id
postgresql,postgres,public,financial_profile_reclassification_schedules,last_assessment_id,8,uuid,,FOREIGN KEY,public,financial_profile_assessments,id
postgresql,postgres,public,financial_profile_reclassification_schedules,user_id,1,uuid,,FOREIGN KEY,public,financial_profile_assessments,user_id
postgresql,postgres,public,financial_profile_reclassification_schedules,user_id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,financial_profile_reclassification_schedules,user_id,1,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,category_groups,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,category_groups,slug,2,text,,UNIQUE,,,
postgresql,postgres,public,categories,category_group_id,2,uuid,,FOREIGN KEY,public,category_groups,id
postgresql,postgres,public,categories,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,categories,user_id,3,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,subcategories,category_id,2,uuid,,FOREIGN KEY,public,categories,id
postgresql,postgres,public,subcategories,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,subcategories,user_id,3,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,user_category_restrictions,category_id,3,uuid,,FOREIGN KEY,public,categories,id
postgresql,postgres,public,user_category_restrictions,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,user_category_restrictions,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,income_sources,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,income_sources,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,financial_accounts,id,1,uuid,,UNIQUE,,,
postgresql,postgres,public,financial_accounts,user_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,financial_accounts,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,financial_accounts,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,recurring_transaction_templates,destination_account_id,9,uuid,,FOREIGN KEY,public,financial_accounts,id
postgresql,postgres,public,recurring_transaction_templates,destination_account_id,9,uuid,,FOREIGN KEY,public,financial_accounts,id
postgresql,postgres,public,recurring_transaction_templates,user_id,2,uuid,,FOREIGN KEY,public,financial_accounts,user_id
postgresql,postgres,public,recurring_transaction_templates,id,1,uuid,,UNIQUE,,,
postgresql,postgres,public,recurring_transaction_templates,user_id,2,uuid,,UNIQUE,,,
postgresql,postgres,public,recurring_transaction_templates,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,recurring_transaction_templates,source_account_id,8,uuid,,FOREIGN KEY,public,financial_accounts,id
postgresql,postgres,public,recurring_transaction_templates,source_account_id,8,uuid,,FOREIGN KEY,public,financial_accounts,id
postgresql,postgres,public,recurring_transaction_templates,user_id,2,uuid,,FOREIGN KEY,public,financial_accounts,user_id
postgresql,postgres,public,recurring_transaction_templates,subcategory_id,7,uuid,,FOREIGN KEY,public,subcategories,id
postgresql,postgres,public,recurring_transaction_templates,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,financial_obligations,id,1,uuid,,PRIMARY KEY,,,
postgresql,postgres,public,financial_obligations,recurring_template_id,4,uuid,,FOREIGN KEY,public,recurring_transaction_templates,id
postgresql,postgres,public,financial_obligations,subcategory_id,3,uuid,,FOREIGN KEY,public,subcategories,id
postgresql,postgres,public,financial_obligations,recurring_template_id,4,uuid,,FOREIGN KEY,public,recurring_transaction_templates,id
postgresql,postgres,public,financial_obligations,user_id,2,uuid,,FOREIGN KEY,public,recurring_transaction_templates,user_id
postgresql,postgres,public,financial_obligations,user_id,2,uuid,,FOREIGN KEY,public,profiles,user_id
postgresql,postgres,public,transactions,destination_account_id,11,uuid,,FOREIGN KEY,public,financial_accounts,id
postgresql,postgres,public,transactions,destination_account_id,11,uuid,,FOREIGN KEY,public,financial_accounts,id
postgresql,postgres,public,transactions,user_id,2,uuid,,FOREIGN KEY,public,financial_accounts,user_id
postgresql,postgres,public,transactions,id,1,uuid,,UNIQUE,,,
postgresql,postgres,public,transactions,user_id,2,uuid,,UNIQUE,,,
